model,season,bin_lo,bin_hi,pred_mean,obs_rate,count
baseline,2000-01,0.4,0.5,0.404393,0.400410,44412
baseline,2000-01,0.5,0.6,0.585940,0.600103,56347
baseline,2000-01,0.6,0.7,,,0
baseline,2000-01,0.7,0.8,,,0
baseline,2000-01,0.8,0.9,,,0
baseline,2000-01,0.9,1.0,,,0
baseline,2001-02,0.0,0.1,0.030303,0.048077,104
baseline,2001-02,0.1,0.2,,,0
baseline,2001-02,0.2,0.3,,,0
baseline,2001-02,0.3,0.4,0.369346,0.374053,89915
baseline,2001-02,0.4,0.5,0.403501,0.397019,44542
baseline,2001-02,0.5,0.6,0.588754,0.593958,58361
baseline,2001-02,0.6,0.7,,,0
baseline,2001-02,0.7,0.8,,,0
baseline,2001-02,0.8,0.9,,,0
baseline,2001-02,0.9,1.0,,,0
baseline,2002-03,0.0,0.1,0.033389,0.045045,111
baseline,2002-03,0.1,0.2,,,0
baseline,2002-03,0.2,0.3,,,0
baseline,2002-03,0.3,0.4,0.370465,0.373284,88308
baseline,2002-03,0.4,0.5,0.402312,0.389509,45429
baseline,2002-03,0.5,0.6,0.589642,0.591718,57911
baseline,2002-03,0.6,0.7,,,0
baseline,2002-03,0.7,0.8,,,0
baseline,2002-03,0.8,0.9,,,0
baseline,2002-03,0.9,1.0,,,0
baseline,2003-04,0.0,0.1,0.035211,0.045872,109
baseline,2003-04,0.1,0.2,,,0
baseline,2003-04,0.2,0.3,,,0
baseline,2003-04,0.3,0.4,0.370461,0.367868,86550
baseline,2003-04,0.4,0.5,0.400294,0.388104,43442
baseline,2003-04,0.5,0.6,0.589943,0.581927,59358
baseline,2003-04,0.6,0.7,,,0
baseline,2003-04,0.7,0.8,,,0
baseline,2003-04,0.8,0.9,,,0
baseline,2003-04,0.9,1.0,,,0
baseline,2004-05,0.0,0.1,0.036630,0.017391,115
baseline,2004-05,0.1,0.2,,,0
baseline,2004-05,0.2,0.3,,,0
baseline,2004-05,0.3,0.4,0.379569,0.384046,133976
baseline,2004-05,0.4,0.5,,,0
baseline,2004-05,0.5,0.6,0.588907,0.585374,63163
baseline,2004-05,0.6,0.7,,,0
baseline,2004-05,0.7,0.8,,,0
baseline,2004-05,0.8,0.9,,,0
baseline,2004-05,0.9,1.0,,,0
baseline,2005-06,0.0,0.1,0.034261,0.027523,109
baseline,2005-06,0.1,0.2,,,0
baseline,2005-06,0.2,0.3,,,0
baseline,2005-06,0.3,0.4,0.379887,0.388724,130792
baseline,2005-06,0.4,0.5,,,0
baseline,2005-06,0.5,0.6,0.588480,0.591967,63017
baseline,2005-06,0.6,0.7,,,0
baseline,2005-06,0.7,0.8,,,0
baseline,2005-06,0.8,0.9,,,0
baseline,2005-06,0.9,1.0,,,0
baseline,2006-07,0.0,0.1,0.033557,0.016000,125
baseline,2006-07,0.1,0.2,,,0
baseline,2006-07,0.2,0.3,,,0
baseline,2006-07,0.3,0.4,0.380309,0.390164,131055
baseline,2006-07,0.4,0.5,,,0
baseline,2006-07,0.5,0.6,0.588855,0.600183,64492
baseline,2006-07,0.6,0.7,,,0
baseline,2006-07,0.7,0.8,,,0
baseline,2006-07,0.8,0.9,,,0
baseline,2006-07,0.9,1.0,,,0
baseline,2007-08,0.0,0.1,0.031678,0.023256,129
baseline,2007-08,0.1,0.2,,,0
baseline,2007-08,0.2,0.3,,,0
baseline,2007-08,0.3,0.4,0.381165,0.391849,135759
baseline,2007-08,0.4,0.5,,,0
baseline,2007-08,0.5,0.6,0.589979,0.599629,64133
baseline,2007-08,0.6,0.7,,,0
baseline,2007-08,0.7,0.8,,,0
baseline,2007-08,0.8,0.9,,,0
baseline,2007-08,0.9,1.0,,,0
baseline,2008-09,0.0,0.1,0.030840,0.035714,112
baseline,2008-09,0.1,0.2,,,0
baseline,2008-09,0.2,0.3,,,0
baseline,2008-09,0.3,0.4,0.372307,0.386739,88168
baseline,2008-09,0.4,0.5,0.400689,0.406938,45142
baseline,2008-09,0.5,0.6,0.590846,0.595807,65152
baseline,2008-09,0.6,0.7,,,0
baseline,2008-09,0.7,0.8,,,0
baseline,2008-09,0.8,0.9,,,0
baseline,2008-09,0.9,1.0,,,0
baseline,2009-10,0.0,0.1,0.031228,0.010989,91
baseline,2009-10,0.1,0.2,,,0
baseline,2009-10,0.2,0.3,,,0
baseline,2009-10,0.3,0.4,0.373354,0.385574,89892
baseline,2009-10,0.4,0.5,0.401191,0.402181,43739
baseline,2009-10,0.5,0.6,0.591261,0.605884,66762
baseline,2009-10,0.6,0.7,,,0
baseline,2009-10,0.7,0.8,,,0
baseline,2009-10,0.8,0.9,,,0
baseline,2009-10,0.9,1.0,,,0
baseline,2010-11,0.0,0.1,0.030000,0.045977,87
baseline,2010-11,0.1,0.2,,,0
baseline,2010-11,0.2,0.3,,,0
baseline,2010-11,0.3,0.4,0.372038,0.375363,83330
baseline,2010-11,0.4,0.5,0.401109,0.402441,52927
baseline,2010-11,0.5,0.6,0.592415,0.619899,62928
baseline,2010-11,0.6,0.7,,,0
baseline,2010-11,0.7,0.8,,,0
baseline,2010-11,0.8,0.9,,,0
baseline,2010-11,0.9,1.0,,,0
baseline,2011-12,0.0,0.1,0.030876,0.016667,60
baseline,2011-12,0.1,0.2,,,0
baseline,2011-12,0.2,0.3,,,0
baseline,2011-12,0.3,0.4,0.371639,0.364956,66882
baseline,2011-12,0.4,0.5,0.401192,0.388846,41852
baseline,2011-12,0.5,0.6,0.594318,0.604848,52099
baseline,2011-12,0.6,0.7,,,0
baseline,2011-12,0.7,0.8,,,0
baseline,2011-12,0.8,0.9,,,0
baseline,2011-12,0.9,1.0,,,0
baseline,2012-13,0.0,0.1,0.030358,0.030303,66
baseline,2012-13,0.1,0.2,,,0
baseline,2012-13,0.2,0.3,,,0
baseline,2012-13,0.3,0.4,0.370619,0.371578,85807
baseline,2012-13,0.4,0.5,0.400567,0.394571,49142
baseline,2012-13,0.5,0.6,0.594889,0.604642,66135
baseline,2012-13,0.6,0.7,,,0
baseline,2012-13,0.7,0.8,,,0
baseline,2012-13,0.8,0.9,,,0
baseline,2012-13,0.9,1.0,,,0
baseline,2013-14,0.0,0.1,0.030356,0.062500,64
baseline,2013-14,0.1,0.2,,,0
baseline,2013-14,0.2,0.3,,,0
baseline,2013-14,0.3,0.4,0.369920,0.374645,90515
baseline,2013-14,0.4,0.5,0.400241,0.396657,47081
baseline,2013-14,0.5,0.6,0.595517,0.608322,66016
baseline,2013-14,0.6,0.7,,,0
baseline,2013-14,0.7,0.8,,,0
baseline,2013-14,0.8,0.9,,,0
baseline,2013-14,0.9,1.0,,,0
baseline,2014-15,0.0,0.1,0.031514,0.036364,55
baseline,2014-15,0.1,0.2,,,0
baseline,2014-15,0.2,0.3,,,0
baseline,2014-15,0.3,0.4,0.370044,0.367717,92642
baseline,2014-15,0.4,0.5,0.400080,0.398946,46282
baseline,2014-15,0.5,0.6,0.596290,0.600826,66134
baseline,2014-15,0.6,0.7,,,0
baseline,2014-15,0.7,0.8,,,0
baseline,2014-15,0.8,0.9,,,0
baseline,2014-15,0.9,1.0,,,0
baseline,2015-16,0.0,0.1,0.031659,0.067797,59
baseline,2015-16,0.1,0.2,,,0
baseline,2015-16,0.2,0.3,,,0
baseline,2015-16,0.3,0.4,0.377043,0.378317,129061
baseline,2015-16,0.4,0.5,0.401142,0.416667,10872
baseline,2015-16,0.5,0.6,0.596549,0.602494,67443
baseline,2015-16,0.6,0.7,,,0
baseline,2015-16,0.7,0.8,,,0
baseline,2015-16,0.8,0.9,,,0
baseline,2015-16,0.9,1.0,,,0
baseline,2016-17,0.0,0.1,0.032787,0.063492,63
baseline,2016-17,0.1,0.2,,,0
baseline,2016-17,0.2,0.3,,,0
baseline,2016-17,0.3,0.4,0.374914,0.382980,130866
baseline,2016-17,0.4,0.5,0.402034,0.423135,11169
baseline,2016-17,0.5,0.6,0.596876,0.610991,67289
baseline,2016-17,0.6,0.7,,,0
baseline,2016-17,0.7,0.8,,,0
baseline,2016-17,0.8,0.9,,,0
baseline,2016-17,0.9,1.0,,,0
baseline,2017-18,0.0,0.1,0.033777,0.055556,54
baseline,2017-18,0.1,0.2,,,0
baseline,2017-18,0.2,0.3,,,0
baseline,2017-18,0.3,0.4,0.373234,0.379384,129046
baseline,2017-18,0.4,0.5,0.403211,0.412968,15207
baseline,2017-18,0.5,0.6,0.597610,0.630849,66875
baseline,2017-18,0.6,0.7,,,0
baseline,2017-18,0.7,0.8,,,0
baseline,2017-18,0.8,0.9,,,0
baseline,2017-18,0.9,1.0,,,0
baseline,2018-19,0.0,0.1,0.034363,0.046512,43
baseline,2018-19,0.1,0.2,,,0
baseline,2018-19,0.2,0.3,,,0
baseline,2018-19,0.3,0.4,0.371846,0.373875,130953
baseline,2018-19,0.4,0.5,0.403899,0.418257,15567
baseline,2018-19,0.5,0.6,0.599243,0.629240,72427
baseline,2018-19,0.6,0.7,,,0
baseline,2018-19,0.7,0.8,,,0
baseline,2018-19,0.8,0.9,,,0
baseline,2018-19,0.9,1.0,,,0
baseline,2019-20,0.0,0.1,0.034617,0.133333,45
baseline,2019-20,0.1,0.2,,,0
baseline,2019-20,0.2,0.3,,,0
baseline,2019-20,0.3,0.4,0.370492,0.373644,113699
baseline,2019-20,0.4,0.5,0.404866,0.416834,13461
baseline,2019-20,0.5,0.6,,,0
baseline,2019-20,0.6,0.7,0.600759,0.635357,60503
baseline,2019-20,0.7,0.8,,,0
baseline,2019-20,0.8,0.9,,,0
baseline,2019-20,0.9,1.0,,,0
baseline,2020-21,0.0,0.1,0.036737,0.032258,31
baseline,2020-21,0.1,0.2,,,0
baseline,2020-21,0.2,0.3,,,0
baseline,2020-21,0.3,0.4,0.370869,0.385620,118793
baseline,2020-21,0.4,0.5,0.405525,0.443018,14408
baseline,2020-21,0.5,0.6,,,0
baseline,2020-21,0.6,0.7,0.602160,0.640982,57440
baseline,2020-21,0.7,0.8,,,0
baseline,2020-21,0.8,0.9,,,0
baseline,2020-21,0.9,1.0,,,0
baseline,2021-22,0.0,0.1,0.036671,0.114286,35
baseline,2021-22,0.1,0.2,,,0
baseline,2021-22,0.2,0.3,,,0
baseline,2021-22,0.3,0.4,0.368205,0.373937,121467
baseline,2021-22,0.4,0.5,0.403927,0.420122,31786
baseline,2021-22,0.5,0.6,,,0
baseline,2021-22,0.6,0.7,0.603598,0.653151,62987
baseline,2021-22,0.7,0.8,,,0
baseline,2021-22,0.8,0.9,,,0
baseline,2021-22,0.9,1.0,,,0
baseline,2022-23,0.0,0.1,0.037928,0.094340,53
baseline,2022-23,0.1,0.2,,,0
baseline,2022-23,0.2,0.3,,,0
baseline,2022-23,0.3,0.4,0.368824,0.383462,120356
baseline,2022-23,0.4,0.5,0.405315,0.439034,31419
baseline,2022-23,0.5,0.6,,,0
baseline,2022-23,0.6,0.7,0.605532,0.666297,64983
baseline,2022-23,0.7,0.8,,,0
baseline,2022-23,0.8,0.9,,,0
baseline,2022-23,0.9,1.0,,,0
baseline,2023-24,0.0,0.1,0.039278,0.093750,32
baseline,2023-24,0.1,0.2,,,0
baseline,2023-24,0.2,0.3,,,0
baseline,2023-24,0.3,0.4,0.369673,0.387541,123770
baseline,2023-24,0.4,0.5,0.407310,0.432303,29787
baseline,2023-24,0.5,0.6,,,0
baseline,2023-24,0.6,0.7,0.607883,0.663131,64669
baseline,2023-24,0.7,0.8,,,0
baseline,2023-24,0.8,0.9,,,0
baseline,2023-24,0.9,1.0,,,0
baseline,2024-25,0.0,0.1,0.040053,0.026316,38
baseline,2024-25,0.1,0.2,,,0
baseline,2024-25,0.2,0.3,,,0
baseline,2024-25,0.3,0.4,0.370015,0.384187,129575
baseline,2024-25,0.4,0.5,0.409298,0.431459,28202
baseline,2024-25,0.5,0.6,,,0
baseline,2024-25,0.6,0.7,0.609932,0.663556,61190
baseline,2024-25,0.7,0.8,,,0
baseline,2024-25,0.8,0.9,,,0
baseline,2024-25,0.9,1.0,,,0
baseline,2025-26,0.0,0.1,0.039825,0.666667,9
baseline,2025-26,0.1,0.2,,,0
baseline,2025-26,0.2,0.3,,,0
baseline,2025-26,0.3,0.4,0.370566,0.381983,127791
baseline,2025-26,0.4,0.5,0.410546,0.434223,29068
baseline,2025-26,0.5,0.6,,,0
baseline,2025-26,0.6,0.7,0.611750,0.670940,62253
baseline,2025-26,0.7,0.8,,,0
baseline,2025-26,0.8,0.9,,,0
baseline,2025-26,0.9,1.0,,,0
logit,ALL,0.0,0.1,,,0
logit,ALL,0.1,0.2,0.190045,0.059524,420
logit,ALL,0.2,0.3,0.267783,0.171869,18101
logit,ALL,0.3,0.4,0.360776,0.375917,2557497
logit,ALL,0.4,0.5,0.448565,0.406574,1085096
logit,ALL,0.5,0.6,0.550580,0.585840,2070339
logit,ALL,0.6,0.7,0.602144,0.704994,2383
logit,ALL,0.7,0.8,,,0
logit,ALL,0.8,0.9,,,0
logit,ALL,0.9,1.0,,,0
logit,1997-98,0.0,0.1,,,0
logit,1997-98,0.1,0.2,,,0
logit,1997-98,0.2,0.3,0.286166,0.073298,191
logit,1997-98,0.3,0.4,0.367679,0.373637,52725
logit,1997-98,0.4,0.5,0.440806,0.394632,77500
logit,1997-98,0.5,0.6,0.534942,0.595716,58872
logit,1997-98,0.6,0.7,,,0
logit,1997-98,0.7,0.8,,,0
logit,1997-98,0.8,0.9,,,0
logit,1997-98,0.9,1.0,,,0
logit,1998-99,0.0,0.1,,,0
logit,1998-99,0.1,0.2,,,0
logit,1998-99,0.2,0.3,0.263434,0.057143,245
logit,1998-99,0.3,0.4,0.364418,0.366718,44432
logit,1998-99,0.4,0.5,0.444965,0.378380,32359
logit,1998-99,0.5,0.6,0.546767,0.580184,36173
logit,1998-99,0.6,0.7,,,0
logit,1998-99,0.7,0.8,,,0
logit,1998-99,0.8,0.9,,,0
logit,1998-99,0.9,1.0,,,0
logit,1999-00,0.0,0.1,,,0
logit,1999-00,0.1,0.2,,,0
logit,1999-00,0.2,0.3,0.261833,0.083333,432
logit,1999-00,0.3,0.4,0.362589,0.384205,82836
logit,1999-00,0.4,0.5,0.445917,0.395428,52710
logit,1999-00,0.5,0.6,0.549348,0.591186,58995
logit,1999-00,0.6,0.7,,,0
logit,1999-00,0.7,0.8,,,0
logit,1999-00,0.8,0.9,,,0
logit,1999-00,0.9,1.0,,,0
logit,2000-01,0.0,0.1,,,0
logit,2000-01,0.1,0.2,,,0
logit,2000-01,0.2,0.3,0.256926,0.064877,447
logit,2000-01,0.3,0.4,0.361972,0.381369,83861
logit,2000-01,0.4,0.5,0.446856,0.384547,48119
logit,2000-01,0.5,0.6,0.552644,0.582626,58928
logit,2000-01,0.6,0.7,,,0
logit,2000-01,0.7,0.8,,,0
logit,2000-01,0.8,0.9,,,0
logit,2000-01,0.9,1.0,,,0
logit,2001-02,0.0,0.1,,,0
logit,2001-02,0.1,0.2,,,0
logit,2001-02,0.2,0.3,0.257816,0.036408,412
logit,2001-02,0.3,0.4,0.361714,0.380322,85864
logit,2001-02,0.4,0.5,0.445154,0.397364,45379
logit,2001-02,0.5,0.6,0.556609,0.575908,61265
logit,2001-02,0.6,0.7,0.600458,0.000000,2
logit,2001-02,0.7,0.8,,,0
logit,2001-02,0.8,0.9,,,0
logit,2001-02,0.9,1.0,,,0
logit,2002-03,0.0,0.1,,,0
logit,2002-03,0.1,0.2,0.195953,0.333333,3
logit,2002-03,0.2,0.3,0.255856,0.064267,389
logit,2002-03,0.3,0.4,0.361584,0.374978,86373
logit,2002-03,0.4,0.5,0.446048,0.393871,43136
logit,2002-03,0.5,0.6,0.556097,0.574350,61856
logit,2002-03,0.6,0.7,0.606964,0.000000,2
logit,2002-03,0.7,0.8,,,0
logit,2002-03,0.8,0.9,,,0
logit,2002-03,0.9,1.0,,,0
logit,2003-04,0.0,0.1,,,0
logit,2003-04,0.1,0.2,0.197745,0.000000,5
logit,2003-04,0.2,0.3,0.255507,0.051724,406
logit,2003-04,0.3,0.4,0.360997,0.371552,84626
logit,2003-04,0.4,0.5,0.446748,0.389116,42116
logit,2003-04,0.5,0.6,0.556799,0.568067,62306
logit,2003-04,0.6,0.7,,,0
logit,2003-04,0.7,0.8,,,0
logit,2003-04,0.8,0.9,,,0
logit,2003-04,0.9,1.0,,,0
logit,2004-05,0.0,0.1,,,0
logit,2004-05,0.1,0.2,,,0
logit,2004-05,0.2,0.3,0.254731,0.046908,469
logit,2004-05,0.3,0.4,0.360813,0.380434,91535
logit,2004-05,0.4,0.5,0.447670,0.403156,39992
logit,2004-05,0.5,0.6,0.556113,0.574060,65251
logit,2004-05,0.6,0.7,0.608089,0.428571,7
logit,2004-05,0.7,0.8,,,0
logit,2004-05,0.8,0.9,,,0
logit,2004-05,0.9,1.0,,,0
logit,2005-06,0.0,0.1,,,0
logit,2005-06,0.1,0.2,0.195581,0.000000,4
logit,2005-06,0.2,0.3,0.253980,0.053333,450
logit,2005-06,0.3,0.4,0.360981,0.384720,90211
logit,2005-06,0.4,0.5,0.448414,0.406581,37230
logit,2005-06,0.5,0.6,0.555710,0.579831,66021
logit,2005-06,0.6,0.7,0.615125,0.500000,2
logit,2005-06,0.7,0.8,,,0
logit,2005-06,0.8,0.9,,,0
logit,2005-06,0.9,1.0,,,0
logit,2006-07,0.0,0.1,,,0
logit,2006-07,0.1,0.2,0.196478,0.000000,3
logit,2006-07,0.2,0.3,0.252866,0.061404,456
logit,2006-07,0.3,0.4,0.361492,0.384045,90078
logit,2006-07,0.4,0.5,0.448470,0.415324,37171
logit,2006-07,0.5,0.6,0.556156,0.585382,67959
logit,2006-07,0.6,0.7,0.621961,0.000000,5
logit,2006-07,0.7,0.8,,,0
logit,2006-07,0.8,0.9,,,0
logit,2006-07,0.9,1.0,,,0
logit,2007-08,0.0,0.1,,,0
logit,2007-08,0.1,0.2,0.196828,0.000000,1
logit,2007-08,0.2,0.3,0.255534,0.071287,505
logit,2007-08,0.3,0.4,0.361810,0.388493,93160
logit,2007-08,0.4,0.5,0.447586,0.408130,37711
logit,2007-08,0.5,0.6,0.557834,0.583321,68626
logit,2007-08,0.6,0.7,0.611414,0.333333,18
logit,2007-08,0.7,0.8,,,0
logit,2007-08,0.8,0.9,,,0
logit,2007-08,0.9,1.0,,,0
logit,2008-09,0.0,0.1,,,0
logit,2008-09,0.1,0.2,0.197232,0.000000,4
logit,2008-09,0.2,0.3,0.253272,0.050773,453
logit,2008-09,0.3,0.4,0.362666,0.389200,90871
logit,2008-09,0.4,0.5,0.448187,0.410491,37404
logit,2008-09,0.5,0.6,0.557708,0.580579,69832
logit,2008-09,0.6,0.7,0.613250,0.300000,10
logit,2008-09,0.7,0.8,,,0
logit,2008-09,0.8,0.9,,,0
logit,2008-09,0.9,1.0,,,0
logit,2009-10,0.0,0.1,,,0
logit,2009-10,0.1,0.2,0.195830,0.000000,4
logit,2009-10,0.2,0.3,0.255560,0.053241,432
logit,2009-10,0.3,0.4,0.363942,0.381229,89395
logit,2009-10,0.4,0.5,0.448514,0.415156,38282
logit,2009-10,0.5,0.6,0.557407,0.590098,72371
logit,2009-10,0.6,0.7,,,0
logit,2009-10,0.7,0.8,,,0
logit,2009-10,0.8,0.9,,,0
logit,2009-10,0.9,1.0,,,0
logit,2010-11,0.0,0.1,,,0
logit,2010-11,0.1,0.2,0.194004,0.000000,7
logit,2010-11,0.2,0.3,0.255843,0.059770,435
logit,2010-11,0.3,0.4,0.364038,0.383125,87504
logit,2010-11,0.4,0.5,0.451593,0.406921,41438
logit,2010-11,0.5,0.6,0.533549,0.589214,69888
logit,2010-11,0.6,0.7,,,0
logit,2010-11,0.7,0.8,,,0
logit,2010-11,0.8,0.9,,,0
logit,2010-11,0.9,1.0,,,0
logit,2011-12,0.0,0.1,,,0
logit,2011-12,0.1,0.2,0.192419,0.000000,5
logit,2011-12,0.2,0.3,0.255810,0.078652,356
logit,2011-12,0.3,0.4,0.363988,0.370196,70587
logit,2011-12,0.4,0.5,0.449349,0.387257,29727
logit,2011-12,0.5,0.6,0.537148,0.573334,60218
logit,2011-12,0.6,0.7,,,0
logit,2011-12,0.7,0.8,,,0
logit,2011-12,0.8,0.9,,,0
logit,2011-12,0.9,1.0,,,0
logit,2012-13,0.0,0.1,,,0
logit,2012-13,0.1,0.2,0.191302,0.050000,20
logit,2012-13,0.2,0.3,0.255587,0.082090,402
logit,2012-13,0.3,0.4,0.362516,0.376340,89071
logit,2012-13,0.4,0.5,0.449080,0.393578,34443
logit,2012-13,0.5,0.6,0.539497,0.571826,77214
logit,2012-13,0.6,0.7,,,0
logit,2012-13,0.7,0.8,,,0
logit,2012-13,0.8,0.9,,,0
logit,2012-13,0.9,1.0,,,0
logit,2013-14,0.0,0.1,,,0
logit,2013-14,0.1,0.2,0.192297,0.000000,19
logit,2013-14,0.2,0.3,0.254216,0.093478,460
logit,2013-14,0.3,0.4,0.362452,0.377709,90800
logit,2013-14,0.4,0.5,0.449576,0.394924,33804
logit,2013-14,0.5,0.6,0.542197,0.573334,78593
logit,2013-14,0.6,0.7,,,0
logit,2013-14,0.7,0.8,,,0
logit,2013-14,0.8,0.9,,,0
logit,2013-14,0.9,1.0,,,0
logit,2014-15,0.0,0.1,,,0
logit,2014-15,0.1,0.2,0.190680,0.000000,26
logit,2014-15,0.2,0.3,0.254340,0.091358,405
logit,2014-15,0.3,0.4,0.362196,0.370757,92349
logit,2014-15,0.4,0.5,0.449706,0.399498,33054
logit,2014-15,0.5,0.6,0.546619,0.564923,79278
logit,2014-15,0.6,0.7,0.613211,0.000000,1
logit,2014-15,0.7,0.8,,,0
logit,2014-15,0.8,0.9,,,0
logit,2014-15,0.9,1.0,,,0
logit,2015-16,0.0,0.1,,,0
logit,2015-16,0.1,0.2,0.193406,0.047619,21
logit,2015-16,0.2,0.3,0.257656,0.115385,442
logit,2015-16,0.3,0.4,0.362016,0.373438,93938
logit,2015-16,0.4,0.5,0.449945,0.402593,32857
logit,2015-16,0.5,0.6,0.547159,0.569166,80177
logit,2015-16,0.6,0.7,,,0
logit,2015-16,0.7,0.8,,,0
logit,2015-16,0.8,0.9,,,0
logit,2015-16,0.9,1.0,,,0
logit,2016-17,0.0,0.1,,,0
logit,2016-17,0.1,0.2,0.189224,0.030303,33
logit,2016-17,0.2,0.3,0.263627,0.162524,523
logit,2016-17,0.3,0.4,0.360763,0.375465,97218
logit,2016-17,0.4,0.5,0.450025,0.409784,31746
logit,2016-17,0.5,0.6,0.548892,0.580528,79867
logit,2016-17,0.6,0.7,,,0
logit,2016-17,0.7,0.8,,,0
logit,2016-17,0.8,0.9,,,0
logit,2016-17,0.9,1.0,,,0
logit,2017-18,0.0,0.1,,,0
logit,2017-18,0.1,0.2,0.192883,0.033333,30
logit,2017-18,0.2,0.3,0.269894,0.163366,606
logit,2017-18,0.3,0.4,0.358809,0.375166,96877
logit,2017-18,0.4,0.5,0.449859,0.407433,33824
logit,2017-18,0.5,0.6,0.548382,0.591183,79845
logit,2017-18,0.6,0.7,,,0
logit,2017-18,0.7,0.8,,,0
logit,2017-18,0.8,0.9,,,0
logit,2017-18,0.9,1.0,,,0
logit,2018-19,0.0,0.1,,,0
logit,2018-19,0.1,0.2,0.190149,0.043478,23
logit,2018-19,0.2,0.3,0.272674,0.221300,723
logit,2018-19,0.3,0.4,0.358243,0.367411,98881
logit,2018-19,0.4,0.5,0.451443,0.410466,32256
logit,2018-19,0.5,0.6,0.549921,0.589115,87107
logit,2018-19,0.6,0.7,,,0
logit,2018-19,0.7,0.8,,,0
logit,2018-19,0.8,0.9,,,0
logit,2018-19,0.9,1.0,,,0
logit,2019-20,0.0,0.1,,,0
logit,2019-20,0.1,0.2,0.186335,0.148148,27
logit,2019-20,0.2,0.3,0.274742,0.271300,892
logit,2019-20,0.3,0.4,0.357109,0.368726,86449
logit,2019-20,0.4,0.5,0.451833,0.410016,26716
logit,2019-20,0.5,0.6,0.551215,0.590365,73624
logit,2019-20,0.6,0.7,,,0
logit,2019-20,0.7,0.8,,,0
logit,2019-20,0.8,0.9,,,0
logit,2019-20,0.9,1.0,,,0
logit,2020-21,0.0,0.1,,,0
logit,2020-21,0.1,0.2,0.190484,0.074074,27
logit,2020-21,0.2,0.3,0.276863,0.279925,1061
logit,2020-21,0.3,0.4,0.357120,0.376379,88496
logit,2020-21,0.4,0.5,0.452756,0.433233,27888
logit,2020-21,0.5,0.6,0.552066,0.591831,73200
logit,2020-21,0.6,0.7,,,0
logit,2020-21,0.7,0.8,,,0
logit,2020-21,0.8,0.9,,,0
logit,2020-21,0.9,1.0,,,0
logit,2021-22,0.0,0.1,,,0
logit,2021-22,0.1,0.2,0.187254,0.086957,23
logit,2021-22,0.2,0.3,0.276416,0.246227,1259
logit,2021-22,0.3,0.4,0.357875,0.364206,101599
logit,2021-22,0.4,0.5,0.453004,0.427472,31326
logit,2021-22,0.5,0.6,0.552324,0.599661,82068
logit,2021-22,0.6,0.7,,,0
logit,2021-22,0.7,0.8,,,0
logit,2021-22,0.8,0.9,,,0
logit,2021-22,0.9,1.0,,,0
logit,2022-23,0.0,0.1,,,0
logit,2022-23,0.1,0.2,0.189246,0.121951,41
logit,2022-23,0.2,0.3,0.276175,0.265254,1180
logit,2022-23,0.3,0.4,0.357515,0.371939,97707
logit,2022-23,0.4,0.5,0.453627,0.444580,32046
logit,2022-23,0.5,0.6,0.553530,0.609795,85837
logit,2022-23,0.6,0.7,,,0
logit,2022-23,0.7,0.8,,,0
logit,2022-23,0.8,0.9,,,0
logit,2022-23,0.9,1.0,,,0
logit,2023-24,0.0,0.1,,,0
